"pealkiri","liik","aasta","tekst"
"Mõne taimse ekstrakti mõju suur-kapsaliblika (Pieris brassicae L.) röövikute toitumisele","1. Bakalaureusetööd","2020","Keemiliste insektitsiidide kahjuliku mõju tõttu on hakatud neile otsima alternatiivseid
võimalusi, mis oleksid ka keskkonnasõbralikud. On leitud, et parimaks lahenduseks
oleksid botaanilised insektitsiidid. Kuna suur-kapsaliblikas on üks olulisemaid ristõieliste
kahjureid, siis uuritakse antud töös kuidas tema vastu võidelda, tehes seda loodust
säästvalt. Bakalaureusetöö eesmärk on uurida tüümiani eeterliku õli ning tüümianikadakaekstrakti mõju suur-kapsaliblika röövikute toitumisaktiivusele ja toiduvalikule.
Selle väljaselgitamiseks viidi läbi röövikute toitumisaktiivsuse katse ja toidutaime
valikukatse. Katseandmete analüüsimisel selgus, et valitud looduslikud preparaadid
avaldasid mõju röövikute toitumisaktiivsusele ja toidutaime valikule. Mõlemal
töötlusvariandil oli kapsaliblikate röövikute toitumist pärssiv toime, mõjutades nii
toitumisaktiivust kui ka toidueelistusi. Röövikute toitumisaktiivsus oli suur
kontrollvariantides. Toiduvaliku katses toitusid röövikud alguses nii töödeldud kui ka
kontrollvariandi lehtedel, ööpäeva möödumisel eelistati rohkem kontrolli. Seega
valikuvõimaluse korral eelistasid röövikud toituda kontrollvariandil, vältides ebameeldivat
toitu. Katsetest selgus, et tüümiani eeterlikul õlil ja tüümiani-kadakaekstraktil oli
röövikutele toitumist pärssiv mõju, aga mõnevõrra suurem oli see viimasel. Sellest
järeldati, et mitme taime koosmõju avaldub röövikutele tõhusamalt kui vaid ühe taime
oma. Töös küll tõestati taimsete ekstraktide pärssivat toimet, kuid soovituste andmiseks
põllupidajatele, tuleks jätkata laborkatsetega ning teha ka põldkatseid."
"Vanade loodusmetsade puistu koosseisu ja lamapuidu mahu hindamine","1. Bakalaureusetööd","2016","Antud bakalaureusetöö eesmärgiks on hinnata puistu koosseisu ning lamapuidu mahtu
neljakümne kaheksal proovitükil, mis on EELIS-e (Eesti Looduse Infosüsteem) andmetel
hinnatud Natura 2000 „Vana loodusmetsa“ elupaigatüübiks.
Töös hinnatavad proovitükid asusid Valga, Tartu, Põlva ja Ida-Viru maakondades ning nende
mõõtmine toimus 2015 aasta juunist kuni augustini. Hinnatakse puistu koosseisu, surnud
puude, tüügaste ja kändude ning lamapuidu mahtu ning andmeid on analüüsitud MS Exceli
keskkonnas.
Tulemustest selgus, et enim lamapuitu, surnud puid, tüükaid ning inim- ja loodustekkelisi
kände esineb jänesekapsa-mustika kasvukohatüübis ning sihtkaitsevööndis.
Proovitükkidel esines elusate ja surnud puude osakaalus enim mändi. Ohtralt olid esindatud
ka kuusk, kask ning haab. Kasvukohatüübiti esines ka teisi puuliike, kuid nende mahud
polnud võrreldes eespool mainitud liikidega märkimisväärsed.
Surnud puud, tüükad, lamapuit ja kännud on elupaigaks paljudele liikidele, mistõttu on nad
tähtis metsaökosüsteemi osa."
"Pühaste Pruulikoda OÜ võrdlev finantsanalüüs aastatel 2015-2018","2. Magistritööd","2020","Eestis oli aastal 2018 õlletootjaid 41, kuid aastal 2013 deklareeris õlletoodangu kõigest 6
ettevõtet. Valdav osa neist on väiketootjad, aga nende arv on aastatega kiirelt kasvanud.
Seega viie aastaga on väiketootjate arv kasvanud ligi kuus korda. Väikepruulijate kasv
peitub väikepruulijatele mõeldud aktsiisimäära soodustuses. Pühaste Pruulikoda OÜ
seisukohalt on tähtis läbi viia finantsolukorra analüüs, et hinnata ettevõtte seisundit,
positsioneerida ettevõte konkurentide hulgas ja prognoosida tegevust tulevikus.
Lähtuvalt eeltoodust on magistritöö eesmärgiks teostada Pühaste Pruulikoda OÜ
finantsanalüüs aastatel 2015-2018, et selgitada välja ettevõtte finantsolukord ja selle
parendamise võimalused. Sealhulgas analüüsida põhjalikult maksevõime-, efektiivsuseja tasuvusnäitajaid ja võrrelda neid peamiste konkurentide suhtarvudega ning
Statistikaameti mediaannäitajatega.
Magistritöös kasutatakse kvantitatiivset meetodit, teostatakse dokumendivaatlus.
Uurimisobjektideks on Pühaste Pruulikoda OÜ ja tema konkurentide 2015-2018
majandusaasta aruanded. Analüüsi aluseks on üldtunnustatud finantsanalüüsi teooria.
Pühaste Pruulikoda OÜ analüüsi käigus selgus, et aastal 2018 enamus finantsnäitajaid
paranesid. Kõik rentaabluse näitajad olid kasvutrendis ning märkimisväärselt paremad kui
konkurentidel. Magistritööd on võimalik edasi arendada, kui teostada Pühaste Pruulikoda
OÜ konkurentidele pankrotianalüüs ning lisada finantsanalüüsile 2019 ja 2020
majandusaastad, mõistmaks, kas ja kuidas koroonaviirus mõjutas väikepruulijate tegevust."
"Kasvavate puude laasimise mõju saematerjali kvaliteedile ja hinnale","2. Magistritööd","2014","Töö eesmärkideks on ülevaate andmine kasvavate puude laasimisest, uurida kasvavate 
puude laasimise mõju saematerjali kvaliteedile, uurida kasvavate puude laasimise mõju 
saematerjali hinnale. 
Uurimuses kasutati 18 mudelpuud, millest 6 olid harilikud kuused (Picea abies) ja 12 
oli harilikud männid (Pinus sylvestris). Kuuest harilikust kuusest kolm olid laasitud ja 
kolm laasimata. Hariliku männi puhul olid neli laasitud ja 8 laasimata. 
Uurimuse aluseks olid 18 mudelpuud, milledest saadi 228 palki pikkusega 3 meetrit. 
Palkidest moodustusid 782 katsekeha (servamata lauad), milledelt mõõdeti kokku 4684 
oksakohta, mis andsid kirjetebaasi 30504 kirjet. 
Andmete analüüsimisel selgus, et laasitud kuuskede keskmine saematerjali m3
 hind on 
300,1€ ning laasimata kuuskede keskmine saematerjali m3
 hind on 260,64€, mis teeb 
hinnavaheks 39,46€. 
Hariliku männi andmete analüüsimisel järeldub, et laasitud mändide keskmine 
saematerjali m3
 hind on 264,61€ ning laasimata mändide keskmine saematerjali m3
 
hind on 249,98€, mis teeb hinnavaheks 14,63€."
"Põlevkivi kaevandamise ja töötlemisega seotud tööstuspärandi kasutusvõimalused","1. Bakalaureusetööd","2018","Ida-Virumaale on iseloomulik põlevkivi tootmisega kujundatud maastik ning maastikul
esinevad põlevkivitööstuspärandi objektid, nagu: karjäärid, kaevandused,
tehispinnavormid (aherainemäed, poolkoksimäed, tuhamäed), tööstuskompleksid,
tööstushooned, kui ka elamupiirkonnad.
Bakalaureusetöö eesmärgiks oli uurida põlevkivitööstuspärandi kasutusvõimalusi Eestis.
Töö on koostamisel kasutatud kirjandusanalüüsi. Kaitse all olevaid
põlevkivitööstuspärandi objektide leidmisel on tuginetud Kultuurimälestiste riikliku
registri nimekirjale. Põlevkivitööstuspärandi objektide valikul on lähtutud objektidest,
mida on kohalike omavalitsuste strateegilistes dokumentides käsitletud piirkonda
edendavate objektidena. Töös antakse ülevaade Põhja-Prantsusmaa, kui ka Saksamaa
kaevanduspiirkonna tööstuspärandi kasutamise edulugudest ning võrreldakse neid Eesti
tööstuspärandi kasutusvõimalustega.
Eestis on tööstuspärandit hakatud tunnustama ja hindama viimase 50. aasta jooksul. Selle
aja jooksul on tööstuspärandi objekte kasutusele võetud eelkõige sportimise ja
rekreatsiooni eesmärgil. Tööstuspärandit kasutatakse eelkõige piirkonna
turismimagnetina, mis aitaksid meelitada piirkonda külastajaid. Edukaid näiteid
põlevkivitööstuspärandi uue kasutusotstarbe saamisel võib Eesti puhul tuua mitmeid, nii
Aidu Veespordikeskuse, Kiviõli Seikluskeskuse, Eesti Kaevandusmuuseumi, kui ka
Kukruse aherainemäe näol. Siiski leidub ka objekte, mis seisavad tühjana ning millele ei
ole uut kasutusotstarvet leitud. Sompa kaevanduse hoone on küll riikliku muinsuskaitse
all, kuid siiski ei ole see taganud hoone säilimise. Eesti ja Euroopa kaevanduspiirkonna
tööstuspärandi kasutamisvaldkonnad on sarnaseid, kuid siiski on Eestis tööstuspärandit
vähem väärtustatud ning puudub rahvusvahelise koostöö edendamine ja riiklik
sekkumine. See aitaks piirkondi innovatiivsemalt arendada ning aitaks tagada
tööstuspärandi parema kasutamise."
"Keskmise suurusega ehitusettevõtte arengupotentsiaali kavandamine läbi peatöövõtu ja alltöövõtu suhestatuse hindamise (AS Paide MEK näitel)","2. Magistritööd","2014","Ehitussektoris tegutsevate keskmise suurusega ehitusettevõtete majandustegevust mõjutavad 
konkurentsitingimustes erinevad aspektid. Põhilisteks probleemideks on kvalifitseeritud 
tööjõupuudus, käibevahendite vähesus ning tihedast konkurentsist tulenev hinnasurve. 
Käesoleva magistritöö eesmärgiks oli uurida AS Paide MEK-i arengut, strateegiliste otsuste ja 
tegevuste mõju majandustegevusele ning alternatiivsete tegevussuundade planeerimist 
tulevikus. 
Koostatud magistritöö eesmärgi saavutamiseks analüüsiti AS Paide MEK-i kui terviku 
majandustegevuse tulemusi ning struktuurset suhestatust alltöövõtjate ja tellijatega. Samuti 
vaadeldi ettevõtte juhtimiskorralduslikku mudelit ning kehtivat struktuuri. Analüüsiti 
metallitööstuse majandustegevuse tulemusi ja investeeringute tasuvust. Adekvaatsema 
tulemuse saavutamiseks viidi ettevõtte juhtkonna liikmetega läbi intervjuud. Läbiviidud 
uurimustöö tulemusena on esitatud ettevõtte juhtkonnale kaalumiseks ettepanekud tegevuse 
tõhustamise eesmärgil. 
Käesolevas magistritöös analüüsitud andmeid ja AS Paide MEK-i juhtkonnale kaalumiseks 
esitatud ettepanekuid saab kasutada AS Paide MEK-i tegevuste parendamisel ja planeerimisel."
"Tallinna Paepargi rippsilla deformatsioonide mõõtmine","1. Bakalaureusetööd","2018","Töös uuriti Tallinna Paepargi jalakäijate silla kandevosade deformatsiooni. Võrreldi nii
rajatise plaanilisi koordinaate kui ka kõrgust. Saadud tulemusi võrreldi varasemate
olemasolevate teostusjoonistega. Mõõdistusvahendiks valiti robottahhümeetri, sest
võrreldi koordinaate X, Y, H. Sillale ei rajatud vajumisreepereid. Võrdlemiseks pidi
otsima kohad, mille asukoht on selgesti arusaadav. Nendeks valiti betooninurgad ja
betooni sisse valatud raudtalade nurgad. Tahhümeetriga mõõdeti poolvõttega, kuna
teostus oli sama moodi teostatud tahhümeetriliselt ja poolvõttega. Tulemustes avastati ühe
betooni valatud raudtala plaanilist liikumist ühes suunas 11 mm. Kõrguslikult erines nurk
varasema mõõdistusega 1 mm. Samuti tuvastati esimese telje betoonrajatise kõrguslik
vajumine 5 mm ulatuses. Rajatise vajumist saab teha ka siis, kui pole rajatud
vajumisreepereid. Kindlama tulemuse ja võrdluse aga saaks, kui need oleks olemas. Need
on kindlad kohad, mida koordineeritakse ka täpsemalt."
"2000-2013. aasta geomaatika osakonna vilistlaste uuring","1. Bakalaureusetööd","2014","Käesoleva uurimuse eesmärgiks on uurida, kas ja mil määral Eesti Maaülikooli 
geomaatika osakonna vilistlased jätkavad tööturul ülikoolis omandatud erialal. 
Vilistlaste uuringu läbiviimiseks kasutati kvalitatiivset meetodit küsitluse näol. 
Valimisse kuulusid aastate 2000-2013 kinnisvara planeerimise, geodeesia ja 
maakorralduse õppekava lõpetajad. 
Tulemustena selgus, et 145-st vastajast on 41% vastanutest põhitöö väga lähedalt õpitud 
erialaga seotud; suures osas on põhitöö omandatud erialaga seotud 20% vastanutest. 
Eesti mastaabiga võrreldes jäävad need numbrid eelnevalt 2005. ja 2009. aastal 
läbiviidud uuringutele 7 ja 14% ulatuses alla. Antud töö raames uuritutest töötavad 49% 
vastajatest erafirmas või eraisiku teenistuses ning 41% riiklikus, avalik-õiguslikus või 
munitsipaalasutuses. Väga olulised või küllaltki olulised kolm põhifaktorit töökoha 
valimisel on: enese proovilepanek (92%), head töökaaslased (91%) ja hea palk (88%). 
Väga olulised või küllaltki olulised kolm põhifaktorit töökoha saamisel on: eesti keele 
oskus (83%), omandatud peaeriala/erialad (81%) ja inglise keele oskus (63%). 
Antud temaatikat on soovitatav edasi uurida spetsiifilisemalt Eesti Maaülikooli poolt 
või järgmise bakalaureuse- või magistritöö raames, keskendudes juba ainult ühele 
õppekavale, et saaks analüüsida ja võrrelda geomaatika valdkonna erialasid omavahel."
"Ökoloogilise koormustaluvuse modelleerimine Rannamõisa maastikukaitseala näitel","2. Magistritööd","2015","Turism on viimastel aastakümnetel muutunud aina populaarsemaks, eelkõige loodusturismi
järgi on nõudlus üha enam kasvama hakanud. Paraku kaasnevad suurenenud nõudlusega ka
teatud keskkonnamõjud, mis muudab oluliseks mõista looduskeskkonna vastupidavust
erinevatele teguritele ning kuidas koormustaluvust mõõta saab.
Magistritöö eesmärgiks oli modelleerida ökoloogilist koormustaluvust MS Excelis loodud
mudeli abil ning töö käigus vaadata kuidas erinevad tegurid nagu külastatavus, ilmastik,
pinnase tallamiskindlus ning taimestiku esinemine alal ökoloogilist koormustaluvust
mõjutavad. Samuti käsitleti lühidalt koormustaluvuse mõõtmiseks kasutatavaid erinevaid
meetodeid. Antud töö uurimisalaks oli Rannamõisa maastikukaitseala Harjumaal.
Modelleerimise käigus saadud tulemused näitasid, et uurimisala ökoloogilist koormustaluvust
mõjutab enim külastatavus (rekreatiivne inimtegevus), millele järgnevad pinnase
tallamiskindlus ning ilmastik. Rannamõisa maastikukaitseala ökoloogiline koormustaluvus on
väikseim vihmase ja jaheda suveilmaga ehk uurimisala saab siis kõige rohkem kannatada,
mida kinnitasid teooria osas läbitöötatud materjalid. Tulemused näitasid, et ala
koormustaluvus teatud ilmastiku ning külastussagedusega langeb, ent karmide piirangute
kehtestamine maastikukaitsealal ei ole mõistlik. Pigem oleks vaja teostada regulaarseid
hooldustöid terviseradadel ning lähiümbruses.
Modelleerimiseks kasutatav mudel oli antud töö eesmärkide saavutamiseks piisav ent selle
nõrkadest külgedeks võib pidada ebapiisavaid andmeid. Täpsemad tulemused saaks siis, kui
viidaks läbi kohapealsed mõõtmised."
"Aasta muld 2017. Leedemuld : [teavik ja postkaart] ﻿","Aasta muld","2016","Leedemuldi leidub kõikjal Eestis liivadel. Peamised levikualad on Kagu-Eesti,  Peipsi-äärne madalik, rannaluited Loode-Eestis ja Põhja-Eesti rannikumadalik. Leedemullad katavad Eesti territooriumist 6,3% ja metsaaladest 14,2%. Tekst: Enn Leedu.  Fotod: Indrek Tamm, Endla Reintam. Kaart: Priit Penu, Tambet Kikas."
"Kaugseire Eestis : artiklikogumik : [2008]","Raamatud","2008","Artiklikogumik  „Kaugseire  Eestis”,  mahukaim  omataoliste  seas,  on  valminud Tartu  Observatooriumi  ja  Keskkonnaministeeriumi  Info-  ja  Tehnokeskuse  koostööna. Artikliautorite  ja  uurimuse  koostajate  näol  on  kaasatud  kogumiku  koostamisse  Tartu Observatoorium,  Tartu  Ülikooli  ökoloogia  ja  maateaduste  instituut,  Tartu  Ülikooli  Eesti mereinstituut, Eesti Maaülikooli metsakorralduse instituut ja Tallinna Tehnikaülikaülikooli meresüsteemide instituut. Raamatu    eesmärk    on    tutvustada    Eestis    uuritud    ja    rakendust    leidnud kaugseiremeetodeid   erinevates   valdkondades.   Kogumiku   esimene   artikkel   annab lühiülevaate kaugseire olemusest ja selle kasutusvõimalustest. Järgnevad uurimustöödel põhinevad   artiklid,   mis   kajastavad   kaugseire   võimalusi   järgmistes   valdkondades: maakatte,  sh  metsatüüpide  eristamine,  metsa-  ja  lageraiepindala  muutuste  leidmine, linnuseire,  linnastumine,  fütoplanktoni  biomassi  hindamine  meres,  põhjataimestiku kaardistamine, siseveekogude seire, õlireostuse ja -reostaja tuvastamine, pilvisuse mõju kaugseire tulemuslikkusele. Raamat pakub huvitavat lugemist kõigile, kellel kaugseire vastu põhjalikum huvi."
"Juhend toitlustusettevõttes mahepõllumajandusele viitavalt märgistatud toidu valmistamiseks ja reklaamimiseks","Raamatud","2018","Mahetoit kogub tarbijate hulgas populaarsust ning mahetoitu soovitakse osta mitte ainult poest, vaid ka kodust väljas einestades. Viimasel ajal on mahetoidu pakkumine toitlustuses paljudes riikides (nt Taani, Rootsi, Prantsusmaa, Itaalia, Saksamaa) kiiresti kasvanud. Heaks näiteks on siin Taani, kus juba üle 2500 toitlustaja kasutab sealset kolmeastmelist toitlustuse ökomärki – nende hulgas on nii tipprestorane, kohvikuid kui ka väga palju avaliku sektori toitlustajaid, nt lasteasutuste sööklaid. Koolides ja lasteaedades on mahetoidu kasutamisele oma panuse andnud riigi ja omavalitsuste suur huvi mahetoitlustust edendada. Nt seadis Kopenhaagen eesmärgiks pakkuda koolides ja lasteaedades 90% ulatuses mahetoitu ning on selle ka juba 2018. a seisuga saavutanud. Ka mitmed Rootsi omavalitsused (nt Malmö) on seadnud kõrged eesmärgid.
Eestis on mahetoidu müük ja tarbimine samuti pidevalt kasvanud ning sellest tulenevalt on järjest enam ka neid inimesi, kes soovivad, et lastele pakutaks lasteaias-koolis just mahetoitu või kes eelistaksid mahetoitu ka kohvikus või restoranis. 2018. a märtsis Tallinnas Turu-uuringute AS poolt läbiviidud küsitlus näitas, et 87% tallinlastest, kelle leibkonnas on lasteaias või üldhariduskoolis käivaid lapsi, on huvitatud oma lapse lasteaia/kooli üleminekust mahetoidule.
Eestis on ligi 2000 mahetootjat ja ka töötlejate arv kasvab pidevalt, kuid toitlustusettevõtete hulgas on mahetoidu pakkujaid kahjuks veel väga vähe. Paljud toitlustajad küll ostavad toorainet mahetootjatelt ja -töötlejatelt, kuid ei anna kliendile selle kasutamisest teada. Selleks, et mahetoorainele tohiks viidata, tuleb täita mahepõllumajanduse seadusest tulenevaid nõudeid.
Mahetoidu pakkumist saab alustada erineval moel, nt vähehaaval, kaasates menüüsse algul vaid paar mahekoostisosa, valmistada osad toidud vaid mahekoostisosadest või kasutada hoopis toitlustuse ökomärki. Viimane võimalus loodi Maaeluministeeriumi poolt 2017. a Skandinaaviamaade eeskujul lihtsustamaks mahetoidu kasutamisele viitamist. Märgi kasutamise nõuded on sarnased Taanile, Rootsile ja Norrale ning sellega kaasnev bürokraatia ei tohiks toitlustajatel üle jõu käia.
Soovides viidata mahetoidu kasutamisele, tuleb põhjalikult läbi mõelda, kas maheteave soovitakse tarbijale esitada:
A. mahepõllumajanduslike toodete (edaspidi mahetoodete) protsentuaalsele osakaalule viitava toitlustuse ökomärgiga, vt täpsemaid nõudeid lk 2;
B. muul viisil mahepõllumajanduslike koostisosade (edaspidi mahekoostisosade) kasutamisele viidates, vt võimalikke variante (nt kõik road menüüs on mahedad, mingi tooraine on kogu menüüs mahe) ja nõudeid lk 9.
Samaaegselt võib kasutada ka mõlemaid võimalusi."
"Eesti Maaülikooli zoomeedikumi kogud : kujunemislugu ja ülevaade","Raamatud","2009","Zoomeedikumi kogude kujunemislugu. Käesolevas teatmikus käsitletavad Eesti Maaülikooli Zoomeedikumi unikaalsed
kogud paiknevad Tartus Kreutzwaldi 62 morfoloogia tiivas esimesel korrusel
(ruumid M-22 ja M-24). Kogud võimaldavad süüvida veterinaarmeditsiini
ajaloo ning mitme distsipliini õppimisse. Neil on Tartu veterinaarõppeasutuse
pika ajalooga seonduvalt suur kultuuriväärtus. Teadusetegijad leiavad kogudest
vajalikku uurimis- ja võrdlusmaterjali. Eriti tarvilik on see arheoloogilistel kaevamistel
leitud luude loomaliigiliseks identifitseerimiseks. Kogudega tutvumine
laiendab huviliste bioloogilist ja meditsiinilist silmaringi. Teatmiku kasutaja saab
vajalikku teavet kogude kujunemise ajaloo ja sisu kohta, et edaspidi Zoomeedikumi
külastades süveneda huvipakkuvasse materjalisse juba valikuliselt. Teatmik
ei asenda kogude kataloogi. Huvipakkuvat ainest võib leida Zoomeedikumist
mujaltki, kuid see jääb käesolevas teatmikus puudutamata.
Praeguse Eesti Maaülikooli eelkäija oli Tartu Veterinaariakool, mis rajati
1848. aastal. Juba selle algusperioodil asuti õppetoolides looma eduka õppe- ja
teadustöö tegemiseks vajalikke kollektsioone. Õppeasutuse statuut nägi ette järgmiste
kogude loomist:
• loomaanatoomia preparaadid,
• kirurgia- ja sünnitusabi riistastik,
• näidishobuseraudade ja -rakendite kogu,
• sööda-, ravi- ja mürktaimede herbaarium,
• raamatukogu.
Esimesed õppevahendid saadi Vilniuse Medikokirurgilisest Akadeemiast ja Kaasani
ülikooli veterinaaria kateedrist nende likvideerimise järel. Akadeemia veterinaaria
osakonna preparaadid kingiti 1843. aastal Tartu ülikoolile ja anti hiljem
üle vastavatud veterinaariakoolile. 1873. aastal muudeti veterinaariakool Tartu
Veterinaariainstituudiks. Sellega suurenes märgatavalt õppeasutuse eelarve, mis
võimaldas hankida rohkem õppevahendeid. Eriti suureks paisusid kogud veterinaardistsipliinides,
milles kasutati rohkesti näidismaterjali, nagu näiteks normaal-
ja patoanatoomia.
Tartu Veterinaariainstituut lakkas olemast 1918. aastal, mil enamik varasid, sh
üks Euroopa paremaid veterinaarraamatukogusid (ligemale 30 000 köidet koos renessansiaegsete haruldustega) evakueeriti Saratovisse, kus nende baasil rajati
peatselt uus õppeasutus. 1919. aastal loodi Tartu ülikooli koosseisus loomaarstiteaduskond, mis viidi
1951. aastal üle vastasutatud Eesti Põllumajanduse Akadeemia (praeguse Eesti
Maaülikooli) koosseisu. Aegade vältel on kogusid täiendatud pidevalt, ent palju
preparaate on aja jooksul nii füüsiliselt kui ka moraalselt kulunud. Seepärast on
nad sageli minema visatud, mõtlemata nende võimalikule ajaloolisele väärtusele.
Teisalt on see vähemalt osaliselt olnud paratamatu ja õigustatudki.
Tänuväärt tegu on olnud õppetoolide ajaloolise väärtusega ainese edastamine
Zoomeedikumi teiste veterinaardistsipliinide kogusse, samuti manala teele lahkunud
veterinaarõppejõududele ja -arstidele kuulunud esemete ja kirjavara annetamine
(isikute nimed avaldatakse allpool kogude ja alakogude lähemal käsitlemisel).
Tartu Veterinaariakooli õppekogud paiknesid alguses Tartu ülikoolile kuuluvas
nn Akadeemilise Musse majas, mida esialgse omaniku perekonnanime järgi kutsutakse
tänapäevalgi Bocki majaks (toonane Jaani tänav, praegu Ülikooli 16).
Aastatel 1856–2000 asus Tartu veterinaariaõppeasutus Ülejõe linnaosas Narva
maantee äärsel krundil. 1990. aastatel kolis Eesti Põllumajandusülikooli loomaarstiteaduskond
tasapisi linna piirile Kreutzwaldi 62 valminud ruumidesse, kus
ta töötab Eesti Maaülikooli veterinaarmeditsiini ja loomakasvatuse instituudina
tänaseni. Zoomeedikumi kogusid on pidevalt hooldatud. Aastatel 1997–2002 eksisteeris
tollases Eesti Põllumajandusülikooli loomaarstiteaduskonnas omaette üksusena
anatoomia, patoanatoomia ja ortopeedia kogude baasil moodustatud veterinaarmeditsiini
muuseum, mida juhatas Velta Lokk.
Aastatel 2006–2008 tegeldi riikliku programmi „Humanitaar- ja loodusteaduslikud
kogud” projekti raames Zoomeedikumi kogude põhjaliku inventeerimise,
dokumenteerimise, korrastamise, arvutiandmebaasi loomise ja hoiutingimuste
parandamisega kaasaja tasemel (projekti juht Enn Ernits). See töö jätkub edaspidigi.
Zoomeedikumi kogudel on oma kodulehekülg, mille kujundas üliõpilane
Tarmo Niine."
"Kultuuride hoolduse ja valgustusraie vajaduse hindamine aerolidari andmete  põhjal","2. Magistritööd","2021","Kultuuride hoolduse ja valgustusraiega parandatakse puude valgus- ja toitetingimusi ning 
suurendatakse puistu majanduslikku tasuvust. Üks võimalus kultuuride hoolduse ja 
valgustusraie vajaduse hindamiseks on kasutada aerolaserskaneerimise (ALS – Airborne 
laser scanning) tulemusel saadud punktipilve andmeid. Magistritöö eesmärgiks on uurida 
kultuuride hoolduse ja valgustusraie vajaduse hindamise võimalusi pungade puhkemise 
eel tehtud madala punktitihedusega ALS andmete põhjal.
Vaadeldud eraldistel oli kultuuride hoolduse ja valgustusraie vajadus suurem kui enamik 
lidari emiteeritud impulsse registreeriti maapinnalt või punktipilve kõrguste 
keskväärtusest madalamal. Maapinnale jõuab suurem osa peegeldusi varakevadisel ALS 
mõõdistuslennul enne vegetatsiooniperioodi, mil lehtpuudel pole lehti ning rohttaimestik
praktiliselt puudub. Kultuuride hoolduse ja valgustusraie vajadus on enim seotud (r = 
0,63) ALS meetrikuga HCV ehk punktipilve kõrguste variatsioonikoefitsiendiga. Valiti 
välja 24 sisukat ALS meetrikut ning logistilise regressioonanalüüsi meetodil koostati 12 
mudelit. Mudelite testimiseks kasutati RMK 2020. aastal tehtud ning 2021. aastaks 
planeeritud kultuuride hoolduste ja valgustusraiete andmeid, kokku 450 eraldist.
Paremaks osutusid kolm mudelit, mis sisaldasid kaks kuni kolm ALS meetriku elementi. 
Mudelite rakendamine RMK testandmestikul näitas, et seosed kultuuride hoolduse ja 
valgustusraie vajaduse ning ALS meetrikute vahel on olemas. Mudelid prognoosisid 
enamikule RMK eraldistele suurt hooldusraie vajadust ning väiksemat hooldusraie 
vajadust prognoositi eraldistele, kus kultuuride hooldus ja valgustusraie oli ALS 
mõõdistuslennu ajaks juba tehtud.
Seoste uurimist tasub tulevikus jätkata, seejuures on soovitatav kasutada 
vegetatsiooniperioodil tehtud ALS mõõdistuslennu andmeid. Praktikas rakendatavate 
mudelite koostamiseks on vaja suuremat alusandmestikku ning valideerimisandmestik 
peab sisaldama nii hooldusraiet vajavaid kui mittevajavaid eraldisi. Tulevastel uuringutel 
võib seoste otsimisel kasutada ka otsustuspuu meetodit."
"Käsipiduri süsteemi lahendus virtuaalse võidusõidu simulaatoritele","Rakenduskõrgharidusõppe lõputööd","2017","Käesoleva lõputöö eesmärgiks on projekteerida ja konstrueerida virtuaalse võidusõidu
simulaatorile kontroller tagasisidesüsteemiga, mis töötaks roolikomplektiga, oleks lihtne
oma konstruktsioonilt ja oleks madala omahinnaga. Lõputöös antakse ülevaade turul
olevate seadmetega ja pakutakse lahendust, mis kõlbaks püstitatud eesmärkidega. Lisaks
on välja toodud arvutusi optimaalse käsipiduri tunnetuse saamiseks. Töö lõpuosas on
kirjeldatud seadme ühendamisest simulaatoriga ja kasutatud vabavara UnoJoy programmi
koodist."
